"","Condition","Sample","Kp_strain_ref","CFU_per_mL_strain","CFU_per_g_strain","LOD","Tissue","Barrier","Genotype","Log_CI","log_CFU_per_g_strain","log_CFU_per_mL_strain","mean_log_CFU_per_g_strain","mean_log_CFU_per_mL_strain"
"78","KPPR1_het","liver_M620","JV1",200,303.444090426339,"No","liver","MP16","het",NA,2.48207868402381,2.30102999566398,3.1980923109898,3.01340331254578
"79","KPPR1_het","liver_M621","JV1",266,576.006929406669,"No","liver","MP16","het",NA,2.76042770804991,2.42488163663107,3.1980923109898,3.01340331254578
"80","KPPR1_het","liver_M622","JV1",600,1299.26375054136,"No","liver","MP16","het",NA,3.11369732180249,2.77815125038364,3.1980923109898,3.01340331254578
"81","KPPR1_het","liver_M623","JV1",200,280.112044817927,"No","liver","MP16","het",NA,2.44733178388781,2.30102999566398,3.1980923109898,3.01340331254578
"82","KPPR1_c57","liver_M624","JV1",199,669.357551294988,"No","liver",NA,"c57",NA,2.82565816720477,2.29885307640971,2.56140887785523,2.37619335892978
"83","KPPR1_c57","liver_M625","JV1",201,227.762039660057,"No","liver",NA,"c57",NA,2.35748134336063,2.30319605742049,2.56140887785523,2.37619335892978
"84","KPPR1_c57","liver_M626","JV1",401,430.026809651475,"No","liver",NA,"c57",NA,2.63349553213946,2.60314437262018,2.56140887785523,2.37619335892978
"85","KPPR1_c57","liver_M628","JV1",199.333333333333,268.534734384121,"No","liver",NA,"c57",NA,2.42900046871606,2.29957992926875,2.56140887785523,2.37619335892978
"86","KPPR1_dbdb","blood_M614","JV1",400,NA,"No","blood","MP16","dbdb",NA,NA,2.60205999132796,NA,3.74749686988951
"87","KPPR1_dbdb","blood_M617","JV1",600.666666666667,NA,"No","blood","MP16","dbdb",NA,NA,2.77863353192338,NA,3.74749686988951
"88","KPPR1_het","blood_M622","JV1",199,NA,"No","blood","MP16","het",NA,NA,2.29885307640971,NA,3.39693495534869
"89","KPPR1_het","blood_M623","JV1",200,NA,"No","blood","MP16","het",NA,NA,2.30102999566398,NA,3.39693495534869
"90","KPPR1_c57","blood_M624","JV1",199,NA,"No","blood",NA,"c57",NA,NA,2.29885307640971,NA,2.29885307640971
"91","KPPR1_c57","blood_M628","JV1",199,NA,"No","blood",NA,"c57",NA,NA,2.29885307640971,NA,2.29885307640971
"92","KPPR1_dbdb","lung_M614","JV432",3400000,14364174.0599916,"No","lung","MP16","dbdb",-0.747626197067686,7.15728065911317,6.53147891704226,7.52462524643575,6.8719221808822
"93","KPPR1_dbdb","lung_M615","JV432",1.6e+07,130505709.624796,"No","lung","MP16","dbdb",-0.103540591907069,8.11562951247353,7.20411998265593,7.52462524643575,6.8719221808822
"94","KPPR1_dbdb","lung_M616","JV432",540000,1578485.82285881,"No","lung","MP16","dbdb",-0.7185655603994,6.19824068563791,5.73239375982297,7.52462524643575,6.8719221808822
"95","KPPR1_dbdb","lung_M617","JV432",4.4e+07,162782093.969664,"No","lung","MP16","dbdb",-0.762694299319818,8.21160663078746,7.64345267648619,7.52462524643575,6.8719221808822
"96","KPPR1_het","lung_M619","JV432",380000,1526104.41767068,"No","lung","MP16","het",-1.1792446818148,6.18358424952107,5.57978359661681,6.49982839240394,5.87581433397324
"97","KPPR1_het","lung_M620","JV432",380000,1082929.60957538,"No","lung","MP16","het",-1.03087656647307,6.0346002284014,5.57978359661681,6.49982839240394,5.87581433397324
"98","KPPR1_het","lung_M621","JV432",240000,702165.008777064,"No","lung","MP16","het",-1.16021449695684,5.84643918332689,5.38021124171161,6.49982839240394,5.87581433397324
"99","KPPR1_het","lung_M622","JV432",40000,123076.923076923,"No","lung","MP16","het",-1.96087308833834,5.09017663034909,4.60205999132796,6.49982839240394,5.87581433397324
"100","KPPR1_het","lung_M623","JV432",260000,853298.326222515,"No","lung","MP16","het",-0.737785266606433,5.93110089374814,5.41497334797082,6.49982839240394,5.87581433397324
"101","KPPR1_c57","lung_M624","JV432",14000,49382.7160493827,"No","lung",NA,"c57",-2.46117848540405,4.69357497244931,4.14612803567824,4.83707885291349,4.24820085405048
"102","KPPR1_c57","lung_M625","JV432",72000,277777.777777778,"No","lung",NA,"c57",-1.67938130099146,5.44369749923271,4.85733249643127,4.83707885291349,4.24820085405048
"103","KPPR1_c57","lung_M626","JV432",6000,19986.6755496336,"No","lung",NA,"c57",-2.78849470389183,4.30074056247639,3.77815125038364,4.83707885291349,4.24820085405048
"104","KPPR1_c57","lung_M627","JV432",16000,56517.1317555635,"No","lung",NA,"c57",-2.59260375033352,4.75218011329082,4.20411998265593,4.83707885291349,4.24820085405048
"105","KPPR1_c57","lung_M628","JV432",18000,98901.0989010989,"No","lung",NA,"c57",-2.18447302775446,4.99520111711823,4.25527250510331,4.83707885291349,4.24820085405048
"106","KPPR1_dbdb","liver_M614","JV432",3200,5288.38208560568,"No","liver","MP16","dbdb",0.937852093251156,3.72332282538748,3.50514997831991,3.80941740146373,3.55366990289714
"107","KPPR1_dbdb","liver_M615","JV432",8200,13763.0077207117,"No","liver","MP16","dbdb",-0.463043747320301,4.13871335350469,3.91381385238372,3.80941740146373,3.55366990289714
"108","KPPR1_dbdb","liver_M616","JV432",400,701.508242721851,"No","liver","MP16","dbdb",-0.266267889404769,2.84603277835452,2.60205999132796,3.80941740146373,3.55366990289714
"109","KPPR1_dbdb","liver_M617","JV432",10400,14614.9522203485,"No","liver","MP16","dbdb",-0.499654552414883,4.16479739988689,4.01703333929878,3.80941740146373,3.55366990289714
"110","KPPR1_het","liver_M619","JV432",200,375.445841937301,"No","liver","MP16","het",-0.919480403180113,2.57454729887915,2.30102999566398,3.50300432239421,3.33507722094739
"111","KPPR1_het","liver_M620","JV432",200,303.444090426339,"No","liver","MP16","het",0.034762106259212,2.48207868402381,2.30102999566398,3.50300432239421,3.33507722094739
"112","KPPR1_het","liver_M622","JV432",1000,2165.4395842356,"No","liver","MP16","het",0.256610855875568,3.33554607141884,3,3.50300432239421,3.33507722094739
"113","KPPR1_het","liver_M623","JV432",200,280.112044817927,"No","liver","MP16","het",0.034762106259212,2.44733178388781,2.30102999566398,3.50300432239421,3.33507722094739
"114","KPPR1_c57","liver_M624","JV432",400,1345.44231416078,"No","liver",NA,"c57",0.337969021177468,3.12886508212302,2.60205999132796,3.12886508212302,2.60205999132796
"115","KPPR1_dbdb","blood_M614","JV432",800,NA,"No","blood","MP16","dbdb",0.335792101923193,NA,2.90308998699194,NA,3.53896268585932
"116","KPPR1_dbdb","blood_M615","JV432",266,NA,"No","blood","MP16","dbdb",0.160790666480572,NA,2.42488163663107,NA,3.53896268585932
"117","KPPR1_dbdb","blood_M617","JV432",199.333333333333,NA,"No","blood","MP16","dbdb",-0.444291496395421,NA,2.29957992926875,NA,3.53896268585932
"118","KPPR1_het","blood_M622","JV432",400,NA,"No","blood","MP16","het",0.337969021177468,NA,2.60205999132796,NA,3.73004786794145
"119","KPPR1_het","blood_M623","JV432",199.333333333333,NA,"No","blood","MP16","het",0.0333120398639792,NA,2.29957992926875,NA,3.73004786794145
"120","KPPR1_c57","blood_M624","JV432",200,NA,"No","blood","MP16","c57",0.0369390255134864,NA,2.30102999566398,NA,2.30006328473383
"121","KPPR1_c57","blood_M625","JV432",199.333333333333,NA,"No","blood","MP16","c57",0.0354889591182538,NA,2.29957992926875,NA,2.30006328473383
"122","KPPR1_c57","blood_M628","JV432",199.333333333333,NA,"No","blood","MP16","c57",0.0354889591182538,NA,2.29957992926875,NA,2.30006328473383
